model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
dense,adam,0.01,8,1,0.8517441860465116,0.8306010928961749,0.8837209302325582,0.856338028169014,"[[141, 31], [20, 152]]"
dense,adam,0.01,8,2,0.8546511627906976,0.8388888888888889,0.877906976744186,0.8579545454545454,"[[143, 29], [21, 151]]"
dense,adam,0.01,8,3,0.8604651162790697,0.8369565217391305,0.8953488372093024,0.8651685393258427,"[[142, 30], [18, 154]]"
dense,adam,0.01,8,4,0.877906976744186,0.8611111111111112,0.9011627906976744,0.8806818181818182,"[[147, 25], [17, 155]]"
dense,adam,0.01,8,5,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
dense,adam,0.01,16,1,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
dense,adam,0.01,16,2,0.8575581395348837,0.8253968253968254,0.9069767441860463,0.8642659279778393,"[[139, 33], [16, 156]]"
dense,adam,0.01,16,3,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
dense,adam,0.01,16,4,0.875,0.8603351955307262,0.8953488372093024,0.8774928774928775,"[[147, 25], [18, 154]]"
dense,adam,0.01,16,5,0.872093023255814,0.872093023255814,0.872093023255814,0.872093023255814,"[[150, 22], [22, 150]]"
dense,adam,0.01,32,1,0.8808139534883721,0.8700564971751412,0.8953488372093024,0.8825214899713467,"[[149, 23], [18, 154]]"
dense,adam,0.01,32,2,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
dense,adam,0.01,32,3,0.8517441860465116,0.8342541436464088,0.877906976744186,0.8555240793201133,"[[142, 30], [21, 151]]"
dense,adam,0.01,32,4,0.8633720930232558,0.8491620111731844,0.8837209302325582,0.8660968660968661,"[[145, 27], [20, 152]]"
dense,adam,0.01,32,5,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
dense,adam,0.01,64,1,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
dense,adam,0.01,64,2,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
dense,adam,0.01,64,3,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
dense,adam,0.01,64,4,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,adam,0.01,64,5,0.8604651162790697,0.8297872340425532,0.9069767441860463,0.8666666666666667,"[[140, 32], [16, 156]]"
dense,adam,0.01,128,1,0.875,0.864406779661017,0.8895348837209303,0.8767908309455588,"[[148, 24], [19, 153]]"
dense,adam,0.01,128,2,0.8808139534883721,0.8742857142857143,0.8895348837209303,0.8818443804034583,"[[150, 22], [19, 153]]"
dense,adam,0.01,128,3,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
dense,adam,0.01,128,4,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
dense,adam,0.01,128,5,0.8691860465116279,0.8359788359788359,0.9186046511627908,0.8753462603878116,"[[141, 31], [14, 158]]"
dense,adam,0.001,8,1,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
dense,adam,0.001,8,2,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,adam,0.001,8,3,0.8691860465116279,0.8469945355191257,0.9011627906976744,0.8732394366197183,"[[144, 28], [17, 155]]"
dense,adam,0.001,8,4,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
dense,adam,0.001,8,5,0.8517441860465116,0.8102564102564103,0.9186046511627908,0.8610354223433242,"[[135, 37], [14, 158]]"
dense,adam,0.001,16,1,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
dense,adam,0.001,16,2,0.8488372093023255,0.8191489361702128,0.8953488372093024,0.8555555555555555,"[[138, 34], [18, 154]]"
dense,adam,0.001,16,3,0.8604651162790697,0.8444444444444444,0.8837209302325582,0.8636363636363636,"[[144, 28], [20, 152]]"
dense,adam,0.001,16,4,0.8401162790697675,0.8095238095238095,0.8895348837209303,0.8476454293628809,"[[136, 36], [19, 153]]"
dense,adam,0.001,16,5,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
dense,adam,0.001,32,1,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
dense,adam,0.001,32,2,0.877906976744186,0.8611111111111112,0.9011627906976744,0.8806818181818182,"[[147, 25], [17, 155]]"
dense,adam,0.001,32,3,0.877906976744186,0.8735632183908046,0.8837209302325582,0.8786127167630058,"[[150, 22], [20, 152]]"
dense,adam,0.001,32,4,0.8604651162790697,0.8444444444444444,0.8837209302325582,0.8636363636363636,"[[144, 28], [20, 152]]"
dense,adam,0.001,32,5,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,adam,0.001,64,1,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
dense,adam,0.001,64,2,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
dense,adam,0.001,64,3,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
dense,adam,0.001,64,4,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
dense,adam,0.001,64,5,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,adam,0.001,128,1,0.8662790697674418,0.8461538461538461,0.8953488372093024,0.8700564971751412,"[[144, 28], [18, 154]]"
dense,adam,0.001,128,2,0.8459302325581395,0.8324022346368715,0.8662790697674418,0.8490028490028491,"[[142, 30], [23, 149]]"
dense,adam,0.001,128,3,0.875,0.8603351955307262,0.8953488372093024,0.8774928774928775,"[[147, 25], [18, 154]]"
dense,adam,0.001,128,4,0.8546511627906976,0.8351648351648352,0.8837209302325582,0.8587570621468926,"[[142, 30], [20, 152]]"
dense,adam,0.001,128,5,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
dense,adam,0.0001,8,1,0.872093023255814,0.8595505617977528,0.8895348837209303,0.8742857142857143,"[[147, 25], [19, 153]]"
